2.9G	ANITA123/
243M	ANKIT007/
9.5M	ANUP123/
8.2M	bibek123/
14M	BIBEK58/
18M	BIJAYA123/
5.2M	BINOD
17M	BINOD150/
145M	CHHIDEN/
4.3G	DHARAN/
1.1M	DHARAN1
1.7G	DINESH/
27M	ishan/
13M	juna123/
111M	kamal123/
895M	kamala123/
21M	kapil/
228M	krishna123/
353M	KUMAR/
64M	KUSUM/
664K	LALITA123/
285M	NABINA/
283M	OM123/
121G	ONLINE_REGISTRATION/
48M	PAWAN123/
421M	prabin/
61M	PRAGYA/
218M	prashant/
608M	puja123/
1.1M	PURUSHOTTAM123/
659M	PUSKAR/
71M	ramsharan/
222M	ritesh/
130M	sajan123/
644M	sangharasha/
412M	SANSKAR/
39M	sarishma/
6.8M	saru/
16M	SHARMA/
3.2M	SHARMILA/
12M	SHOVA123/
95M	shristi/
11M	siddhartha/
25M	SIRINA/
1.1M	SIRJANA123/
176M	sita/
1.5G	SUNITA/
4.8M	TmsAdmin/
138G	total


************************************************************************
Online registration directory file sizes
************************************************************************


0	2020-08-23
19M	2020-08-24
52M	2020-08-25
65M	2020-08-26
42M	2020-08-27
141M	2020-08-28
58M	2020-08-29
39M	2020-08-30
11M	2020-09-05
67M	2020-09-06
123M	2020-09-07
145M	2020-09-08
94M	2020-09-09
106M	2020-09-10
102M	2020-09-11
43M	2020-09-12
43M	2020-09-13
72M	2020-09-14
146M	2020-09-15
147M	2020-09-16
177M	2020-09-17
146M	2020-09-18
115M	2020-09-19
93M	2020-09-20
120M	2020-09-21
160M	2020-09-22
61M	2020-09-23
105M	2020-09-24
55M	2020-09-25
22M	2020-09-26
74M	2020-09-27
65M	2020-09-28
107M	2020-09-29
40M	2020-09-30
62M	2020-10-01
26M	2020-10-02
16M	2020-10-03
18M	2020-10-04
69M	2020-10-05
46M	2020-10-06
117M	2020-10-07
92M	2020-10-08
48M	2020-10-09
67M	2020-10-10
109M	2020-10-11
99M	2020-10-12
45M	2020-10-13
76M	2020-10-14
43M	2020-10-15
42M	2020-10-16
6.9M	2020-10-17
42M	2020-10-18
77M	2020-10-19
42M	2020-10-20
50M	2020-10-21
40M	2020-10-22
13M	2020-10-23
6.7M	2020-10-24
3.4M	2020-10-25
0	2020-10-26
7.5M	2020-10-27
64M	2020-10-28
63M	2020-10-29
71M	2020-10-30
44M	2020-10-31
51M	2020-11-01
62M	2020-11-02
54M	2020-11-03
41M	2020-11-04
60M	2020-11-05
0	2020-11-06
0	2020-11-07
0	2020-11-08
70M	2020-11-09
76M	2020-11-10
31M	2020-11-11
64M	2020-11-12
27M	2020-11-13
0	2020-11-14
2.7M	2020-11-15
13M	2020-11-16
42M	2020-11-17
39M	2020-11-18
62M	2020-11-19
80M	2020-11-20
59M	2020-11-21
74M	2020-11-22
52M	2020-11-23
76M	2020-11-24
82M	2020-11-25
79M	2020-11-26
58M	2020-11-27
61M	2020-11-28
118M	2020-11-29
131M	2020-11-30
136M	2020-12-01
97M	2020-12-02
76M	2020-12-03
144M	2020-12-04
49M	2020-12-05
66M	2020-12-06
101M	2020-12-07
207M	2020-12-08
110M	2020-12-09
117M	2020-12-10
110M	2020-12-11
30M	2020-12-12
72M	2020-12-13
96M	2020-12-14
113M	2020-12-15
155M	2020-12-16
89M	2020-12-17
88M	2020-12-18
90M	2020-12-19
163M	2020-12-20
93M	2020-12-21
145M	2020-12-22
126M	2020-12-23
88M	2020-12-24
136M	2020-12-25
133M	2020-12-26
127M	2020-12-27
186M	2020-12-28
92M	2020-12-29
156M	2020-12-30
101M	2020-12-31
116M	2021-01-01
94M	2021-01-02
108M	2021-01-03
142M	2021-01-04
117M	2021-01-05
132M	2021-01-06
128M	2021-01-07
87M	2021-01-08
44M	2021-01-09
91M	2021-01-10
127M	2021-01-11
95M	2021-01-12
87M	2021-01-13
64M	2021-01-14
121M	2021-01-15
117M	2021-01-16
118M	2021-01-17
142M	2021-01-18
153M	2021-01-19
149M	2021-01-20
129M	2021-01-21
187M	2021-01-22
74M	2021-01-23
175M	2021-01-24
192M	2021-01-25
245M	2021-01-26
169M	2021-01-27
177M	2021-01-28
155M	2021-01-29
219M	2021-01-30
220M	2021-01-31
205M	2021-02-01
214M	2021-02-02
387M	2021-02-03
299M	2021-02-04
168M	2021-02-05
106M	2021-02-06
201M	2021-02-07
253M	2021-02-08
210M	2021-02-09
241M	2021-02-10
169M	2021-02-11
113M	2021-02-12
146M	2021-02-13
368M	2021-02-14
468M	2021-02-15
480M	2021-02-16
681M	2021-02-17
652M	2021-02-18
775M	2021-02-19
547M	2021-02-20
693M	2021-02-21
842M	2021-02-22
875M	2021-02-23
728M	2021-02-24
537M	2021-02-25
357M	2021-02-26
230M	2021-02-27
288M	2021-02-28
351M	2021-03-01
354M	2021-03-02
332M	2021-03-03
287M	2021-03-04
276M	2021-03-05
184M	2021-03-06
271M	2021-03-07
257M	2021-03-08
265M	2021-03-09
180M	2021-03-10
221M	2021-03-11
206M	2021-03-12
230M	2021-03-13
243M	2021-03-14
291M	2021-03-15
271M	2021-03-16
239M	2021-03-17
327M	2021-03-18
197M	2021-03-19
234M	2021-03-20
261M	2021-03-21
375M	2021-03-22
259M	2021-03-23
273M	2021-03-24
386M	2021-03-25
285M	2021-03-26
146M	2021-03-27
217M	2021-03-28
270M	2021-03-29
218M	2021-03-30
248M	2021-03-31
392M	2021-04-01
310M	2021-04-02
253M	2021-04-03
254M	2021-04-04
174M	2021-04-05
199M	2021-04-06
183M	2021-04-07
204M	2021-04-08
156M	2021-04-09
158M	2021-04-10
150M	2021-04-11
196M	2021-04-12
151M	2021-04-13
86M	2021-04-14
147M	2021-04-15
106M	2021-04-16
120M	2021-04-17
128M	2021-04-18
193M	2021-04-19
184M	2021-04-20
178M	2021-04-21
164M	2021-04-22
135M	2021-04-23
108M	2021-04-24
172M	2021-04-25
210M	2021-04-26
155M	2021-04-27
154M	2021-04-28
134M	2021-04-29
145M	2021-04-30
140M	2021-05-01
189M	2021-05-02
154M	2021-05-03
252M	2021-05-04
282M	2021-05-05
255M	2021-05-06
258M	2021-05-07
168M	2021-05-08
213M	2021-05-09
203M	2021-05-10
185M	2021-05-11
152M	2021-05-12
33M	2021-05-13
812K	2021-05-14
0	2021-05-15
21M	2021-05-16
7.4M	2021-05-17
296M	2021-05-18
340M	2021-05-19
272M	2021-05-20
227M	2021-05-21
169M	2021-05-22
165M	2021-05-23
226M	2021-05-24
255M	2021-05-25
179M	2021-05-26
213M	2021-05-27
100M	2021-05-28
152M	2021-05-29
156M	2021-05-30
232M	2021-05-31
138M	2021-06-01
239M	2021-06-02
208M	2021-06-03
163M	2021-06-04
139M	2021-06-05
192M	2021-06-06
256M	2021-06-07
238M	2021-06-08
325M	2021-06-09
275M	2021-06-10
290M	2021-06-11
285M	2021-06-12
277M	2021-06-13
162M	2021-06-14
363M	2021-06-15
297M	2021-06-16
236M	2021-06-17
255M	2021-06-18
143M	2021-06-19
224M	2021-06-20
235M	2021-06-21
191M	2021-06-22
229M	2021-06-23
189M	2021-06-24
169M	2021-06-25
180M	2021-06-26
191M	2021-06-27
220M	2021-06-28
196M	2021-06-29
205M	2021-06-30
160M	2021-07-01
197M	2021-07-02
155M	2021-07-03
237M	2021-07-04
204M	2021-07-05
227M	2021-07-06
208M	2021-07-07
264M	2021-07-08
184M	2021-07-09
168M	2021-07-10
208M	2021-07-11
247M	2021-07-12
238M	2021-07-13
191M	2021-07-14
185M	2021-07-15
315M	2021-07-16
236M	2021-07-17
